x,y,u,v,p,speed
 0.00391,   0.00390625,  -0.00001118,   0.00001118,   0.04627917,   0.00001581
 0.01172,   0.00390625,  -0.00000332,  -0.00001905,   0.04628568,   0.00001934
 0.01953,   0.00390625,   0.00007554,  -0.00005981,   0.04629573,   0.00009635
 0.02734,   0.00390625,   0.00023207,  -0.00009672,   0.04630505,   0.00025142
 0.03516,   0.00390625,   0.00045381,  -0.00012502,   0.04631053,   0.00047072
 0.04297,   0.00390625,   0.00072211,  -0.00014328,   0.04631011,   0.00073619
 0.05078,   0.00390625,   0.00101689,  -0.00015149,   0.04630258,   0.00102811
 0.05859,   0.00390625,   0.00131888,  -0.00015050,   0.04628751,   0.00132744
 0.06641,   0.00390625,   0.00161114,  -0.00014176,   0.04626511,   0.00161736
 0.07422,   0.00390625,   0.00188003,  -0.00012714,   0.04623604,   0.00188433
 0.08203,   0.00390625,   0.00211591,  -0.00010874,   0.04620132,   0.00211870
 0.08984,   0.00390625,   0.00231331,  -0.00008866,   0.04616212,   0.00231501
 0.09766,   0.00390625,   0.00247080,  -0.00006882,   0.04611962,   0.00247176
 0.10547,   0.00390625,   0.00259040,  -0.00005078,   0.04607487,   0.00259090
 0.11328,   0.00390625,   0.00267687,  -0.00003569,   0.04602866,   0.00267711
 0.12109,   0.00390625,   0.00273680,  -0.00002424,   0.04598151,   0.00273691
 0.12891,   0.00390625,   0.00277768,  -0.00001664,   0.04593361,   0.00277773
 0.13672,   0.00390625,   0.00280701,  -0.00001270,   0.04588482,   0.00280704
 0.14453,   0.00390625,   0.00283159,  -0.00001188,   0.04583471,   0.00283162
 0.15234,   0.00390625,   0.00285684,  -0.00001336,   0.04578258,   0.00285687
 0.16016,   0.00390625,   0.00288637,  -0.00001616,   0.04572755,   0.00288641
 0.16797,   0.00390625,   0.00292177,  -0.00001923,   0.04566860,   0.00292183
 0.17578,   0.00390625,   0.00296257,  -0.00002157,   0.04560463,   0.00296264
 0.18359,   0.00390625,   0.00300643,  -0.00002230,   0.04553454,   0.00300651
 0.19141,   0.00390625,   0.00304948,  -0.00002076,   0.04545726,   0.00304955
 0.19922,   0.00390625,   0.00308676,  -0.00001652,   0.04537178,   0.00308681
 0.20703,   0.00390625,   0.00311266,  -0.00000938,   0.04527715,   0.00311268
 0.21484,   0.00390625,   0.00312131,   0.00000073,   0.04517247,   0.00312131
 0.22266,   0.00390625,   0.00310680,   0.00001378,   0.04505688,   0.00310683
 0.23047,   0.00390625,   0.00306328,   0.00002974,   0.04492950,   0.00306342
 0.23828,   0.00390625,   0.00298491,   0.00004863,   0.04478947,   0.00298531
 0.24609,   0.00390625,   0.00286573,   0.00007056,   0.04463588,   0.00286660
 0.25391,   0.00390625,   0.00269945,   0.00009572,   0.04446781,   0.00270115
 0.26172,   0.00390625,   0.00247937,   0.00012435,   0.04428436,   0.00248249
 0.26953,   0.00390625,   0.00219831,   0.00015671,   0.04408466,   0.00220389
 0.27734,   0.00390625,   0.00184858,   0.00019301,   0.04386794,   0.00185863
 0.28516,   0.00390625,   0.00142215,   0.00023342,   0.04363356,   0.00144118
 0.29297,   0.00390625,   0.00091074,   0.00027799,   0.04338110,   0.00095222
 0.30078,   0.00390625,   0.00030606,   0.00032668,   0.04311038,   0.00044766
 0.30859,   0.00390625,  -0.00039995,   0.00037933,   0.04282155,   0.00055123
 0.31641,   0.00390625,  -0.00121490,   0.00043562,   0.04251515,   0.00129064
 0.32422,   0.00390625,  -0.00214562,   0.00049510,   0.04219218,   0.00220200
 0.33203,   0.00390625,  -0.00319789,   0.00055717,   0.04185417,   0.00324606
 0.33984,   0.00390625,  -0.00437612,   0.00062106,   0.04150321,   0.00441997
 0.34766,   0.00390625,  -0.00568305,   0.00068587,   0.04114202,   0.00572428
 0.35547,   0.00390625,  -0.00711945,   0.00075054,   0.04077401,   0.00715891
 0.36328,   0.00390625,  -0.00868390,   0.00081391,   0.04040324,   0.00872196
 0.37109,   0.00390625,  -0.01037252,   0.00087471,   0.04003445,   0.01040934
 0.37891,   0.00390625,  -0.01217884,   0.00093160,   0.03967305,   0.01221442
 0.38672,   0.00390625,  -0.01409366,   0.00098322,   0.03932500,   0.01412792
 0.39453,   0.00390625,  -0.01610508,   0.00102819,   0.03899683,   0.01613786
 0.40234,   0.00390625,  -0.01819843,   0.00106516,   0.03869543,   0.01822957
 0.41016,   0.00390625,  -0.02035644,   0.00109285,   0.03842799,   0.02038576
 0.41797,   0.00390625,  -0.02255935,   0.00111005,   0.03820185,   0.02258664
 0.42578,   0.00390625,  -0.02478508,   0.00111568,   0.03802427,   0.02481018
 0.43359,   0.00390625,  -0.02700952,   0.00110876,   0.03790231,   0.02703227
 0.44141,   0.00390625,  -0.02920675,   0.00108847,   0.03784263,   0.02922703
 0.44922,   0.00390625,  -0.03134934,   0.00105412,   0.03785124,   0.03136706
 0.45703,   0.00390625,  -0.03340867,   0.00100520,   0.03793336,   0.03342379
 0.46484,   0.00390625,  -0.03535522,   0.00094135,   0.03809319,   0.03536775
 0.47266,   0.00390625,  -0.03715895,   0.00086238,   0.03833373,   0.03716896
 0.48047,   0.00390625,  -0.03878963,   0.00076829,   0.03865658,   0.03879724
 0.48828,   0.00390625,  -0.04021721,   0.00065929,   0.03906181,   0.04022261
 0.49609,   0.00390625,  -0.04141226,   0.00053576,   0.03954775,   0.04141572
