y,u_ghia,u_sim,error
  0.0000,  0.00000000,  0.00000000,  0.00000000
  0.0547, -0.18109000, -0.17847721,  0.00261279
  0.0625, -0.20196000, -0.19908593,  0.00287407
  0.0703, -0.22220000, -0.21919218,  0.00300782
  0.1016, -0.29730000, -0.29482406,  0.00247594
  0.1719, -0.38289000, -0.38235168,  0.00053832
  0.2813, -0.27805000, -0.27802757,  0.00002243
  0.4531, -0.10648000, -0.10732287,  0.00084287
  0.5000, -0.06080000, -0.06171026,  0.00091026
  0.6172,  0.05702000,  0.05604385,  0.00097615
  0.7344,  0.18719000,  0.18627766,  0.00091234
  0.8516,  0.33304000,  0.33258158,  0.00045842
  0.9531,  0.46547000,  0.46812049,  0.00265049
  0.9609,  0.51117000,  0.51326802,  0.00209802
  0.9688,  0.57492000,  0.57766379,  0.00274379
  0.9766,  0.65928000,  0.66167961,  0.00239961
  1.0000,  1.00000000,  1.00000000,  0.00000000
