y,u_sim
  0.000000,  0.00000000
  0.003906, -0.04194802
  0.011719, -0.11187924
  0.019531, -0.16824217
  0.027344, -0.21411023
  0.035156, -0.25353709
  0.042969, -0.28924788
  0.050781, -0.32197733
  0.058594, -0.35112919
  0.066406, -0.37565818
  0.074219, -0.39463095
  0.082031, -0.40750422
  0.089844, -0.41425320
  0.097656, -0.41538690
  0.105469, -0.41185099
  0.113281, -0.40484478
  0.121094, -0.39560868
  0.128906, -0.38524295
  0.136719, -0.37459679
  0.144531, -0.36423437
  0.152344, -0.35446018
  0.160156, -0.34537672
  0.167969, -0.33695105
  0.175781, -0.32907508
  0.183594, -0.32161220
  0.191406, -0.31442864
  0.199219, -0.30741116
  0.207031, -0.30047415
  0.214844, -0.29355959
  0.222656, -0.28663303
  0.230469, -0.27967786
  0.238281, -0.27268958
  0.246094, -0.26567095
  0.253906, -0.25862824
  0.261719, -0.25156877
  0.269531, -0.24449939
  0.277344, -0.23742574
  0.285156, -0.23035201
  0.292969, -0.22328099
  0.300781, -0.21621431
  0.308594, -0.20915268
  0.316406, -0.20209619
  0.324219, -0.19504449
  0.332031, -0.18799700
  0.339844, -0.18095301
  0.347656, -0.17391178
  0.355469, -0.16687256
  0.363281, -0.15983465
  0.371094, -0.15279737
  0.378906, -0.14576006
  0.386719, -0.13872209
  0.394531, -0.13168281
  0.402344, -0.12464157
  0.410156, -0.11759768
  0.417969, -0.11055043
  0.425781, -0.10349906
  0.433594, -0.09644275
  0.441406, -0.08938064
  0.449219, -0.08231182
  0.457031, -0.07523530
  0.464844, -0.06815007
  0.472656, -0.06105501
  0.480469, -0.05394899
  0.488281, -0.04683080
  0.496094, -0.03969916
  0.503906, -0.03255275
  0.511719, -0.02539018
  0.519531, -0.01820999
  0.527344, -0.01101069
  0.535156, -0.00379068
  0.542969,  0.00345166
  0.550781,  0.01071804
  0.558594,  0.01801022
  0.566406,  0.02533004
  0.574219,  0.03267938
  0.582031,  0.04006021
  0.589844,  0.04747457
  0.597656,  0.05492455
  0.605469,  0.06241232
  0.613281,  0.06994013
  0.621094,  0.07751029
  0.628906,  0.08512519
  0.636719,  0.09278731
  0.644531,  0.10049920
  0.652344,  0.10826350
  0.660156,  0.11608291
  0.667969,  0.12396026
  0.675781,  0.13189843
  0.683594,  0.13990039
  0.691406,  0.14796920
  0.699219,  0.15610799
  0.707031,  0.16431993
  0.714844,  0.17260824
  0.722656,  0.18097617
  0.730469,  0.18942700
  0.738281,  0.19796400
  0.746094,  0.20659048
  0.753906,  0.21530983
  0.761719,  0.22412565
  0.769531,  0.23304184
  0.777344,  0.24206292
  0.785156,  0.25119431
  0.792969,  0.26044269
  0.800781,  0.26981639
  0.808594,  0.27932573
  0.816406,  0.28898301
  0.824219,  0.29880221
  0.832031,  0.30879787
  0.839844,  0.31898303
  0.847656,  0.32936594
  0.855469,  0.33994516
  0.863281,  0.35070332
  0.871094,  0.36159934
  0.878906,  0.37256008
  0.886719,  0.38347196
  0.894531,  0.39417392
  0.902344,  0.40445297
  0.910156,  0.41404344
  0.917969,  0.42263090
  0.925781,  0.42986200
  0.933594,  0.43537052
  0.941406,  0.43887324
  0.949219,  0.44054595
  0.957031,  0.44222941
  0.964844,  0.45019366
  0.972656,  0.47888931
  0.980469,  0.55144748
  0.988281,  0.69002204
  0.996094,  0.89273731
  1.000000,  1.00000000
