x,v_sim
  0.003906,  0.00737025
  0.011719,  0.02135412
  0.019531,  0.03459138
  0.027344,  0.04709457
  0.035156,  0.05887843
  0.042969,  0.06995960
  0.050781,  0.08035631
  0.058594,  0.09008816
  0.066406,  0.09917585
  0.074219,  0.10764092
  0.082031,  0.11550555
  0.089844,  0.12279232
  0.097656,  0.12952407
  0.105469,  0.13572363
  0.113281,  0.14141374
  0.121094,  0.14661681
  0.128906,  0.15135484
  0.136719,  0.15564928
  0.144531,  0.15952089
  0.152344,  0.16298967
  0.160156,  0.16607477
  0.167969,  0.16879445
  0.175781,  0.17116595
  0.183594,  0.17320554
  0.191406,  0.17492843
  0.199219,  0.17634876
  0.207031,  0.17747961
  0.214844,  0.17833299
  0.222656,  0.17891987
  0.230469,  0.17925017
  0.238281,  0.17933279
  0.246094,  0.17917568
  0.253906,  0.17878581
  0.261719,  0.17816930
  0.269531,  0.17733136
  0.277344,  0.17627642
  0.285156,  0.17500817
  0.292969,  0.17352955
  0.300781,  0.17184288
  0.308594,  0.16994984
  0.316406,  0.16785159
  0.324219,  0.16554877
  0.332031,  0.16304157
  0.339844,  0.16032978
  0.347656,  0.15741283
  0.355469,  0.15428985
  0.363281,  0.15095971
  0.371094,  0.14742106
  0.378906,  0.14367238
  0.386719,  0.13971201
  0.394531,  0.13553821
  0.402344,  0.13114921
  0.410156,  0.12654321
  0.417969,  0.12171845
  0.425781,  0.11667326
  0.433594,  0.11140608
  0.441406,  0.10591550
  0.449219,  0.10020033
  0.457031,  0.09425960
  0.464844,  0.08809265
  0.472656,  0.08169915
  0.480469,  0.07507916
  0.488281,  0.06823316
  0.496094,  0.06116214
  0.503906,  0.05386762
  0.511719,  0.04635175
  0.519531,  0.03861731
  0.527344,  0.03066786
  0.535156,  0.02250775
  0.542969,  0.01414220
  0.550781,  0.00557741
  0.558594, -0.00317938
  0.566406, -0.01211978
  0.574219, -0.02123420
  0.582031, -0.03051170
  0.589844, -0.03993991
  0.597656, -0.04950496
  0.605469, -0.05919131
  0.613281, -0.06898168
  0.621094, -0.07885696
  0.628906, -0.08879605
  0.636719, -0.09877580
  0.644531, -0.10877087
  0.652344, -0.11875370
  0.660156, -0.12869435
  0.667969, -0.13856052
  0.675781, -0.14831743
  0.683594, -0.15792783
  0.691406, -0.16735203
  0.699219, -0.17654788
  0.707031, -0.18547089
  0.714844, -0.19407435
  0.722656, -0.20230948
  0.730469, -0.21012568
  0.738281, -0.21747080
  0.746094, -0.22429152
  0.753906, -0.23053372
  0.761719, -0.23614303
  0.769531, -0.24106533
  0.777344, -0.24524742
  0.785156, -0.24863767
  0.792969, -0.25118677
  0.800781, -0.25284854
  0.808594, -0.25358068
  0.816406, -0.25334567
  0.824219, -0.25211154
  0.832031, -0.24985271
  0.839844, -0.24655073
  0.847656, -0.24219495
  0.855469, -0.23678314
  0.863281, -0.23032195
  0.871094, -0.22282727
  0.878906, -0.21432439
  0.886719, -0.20484808
  0.894531, -0.19444235
  0.902344, -0.18316021
  0.910156, -0.17106313
  0.917969, -0.15822034
  0.925781, -0.14470807
  0.933594, -0.13060852
  0.941406, -0.11600886
  0.949219, -0.10100005
  0.957031, -0.08567566
  0.964844, -0.07013065
  0.972656, -0.05446019
  0.980469, -0.03875850
  0.988281, -0.02311781
  0.996094, -0.00762736
