x,v_sim
  0.003906,  0.02927629
  0.011719,  0.08105868
  0.019531,  0.12619126
  0.027344,  0.16490120
  0.035156,  0.19763685
  0.042969,  0.22506863
  0.050781,  0.24801406
  0.058594,  0.26733119
  0.066406,  0.28381743
  0.074219,  0.29813720
  0.082031,  0.31078675
  0.089844,  0.32209292
  0.097656,  0.33223620
  0.105469,  0.34128605
  0.113281,  0.34923859
  0.121094,  0.35604984
  0.128906,  0.36166136
  0.136719,  0.36601810
  0.144531,  0.36907943
  0.152344,  0.37082513
  0.160156,  0.37125792
  0.167969,  0.37040365
  0.175781,  0.36831013
  0.183594,  0.36504480
  0.191406,  0.36069188
  0.199219,  0.35534892
  0.207031,  0.34912314
  0.214844,  0.34212755
  0.222656,  0.33447725
  0.230469,  0.32628581
  0.238281,  0.31766214
  0.246094,  0.30870780
  0.253906,  0.29951493
  0.261719,  0.29016481
  0.269531,  0.28072702
  0.277344,  0.27125920
  0.285156,  0.26180733
  0.292969,  0.25240642
  0.300781,  0.24308154
  0.308594,  0.23384900
  0.316406,  0.22471776
  0.324219,  0.21569072
  0.332031,  0.20676612
  0.339844,  0.19793871
  0.347656,  0.18920085
  0.355469,  0.18054347
  0.363281,  0.17195680
  0.371094,  0.16343099
  0.378906,  0.15495655
  0.386719,  0.14652465
  0.394531,  0.13812732
  0.402344,  0.12975755
  0.410156,  0.12140928
  0.417969,  0.11307739
  0.425781,  0.10475761
  0.433594,  0.09644642
  0.441406,  0.08814094
  0.449219,  0.07983881
  0.457031,  0.07153806
  0.464844,  0.06323705
  0.472656,  0.05493432
  0.480469,  0.04662858
  0.488281,  0.03831857
  0.496094,  0.03000307
  0.503906,  0.02168081
  0.511719,  0.01335048
  0.519531,  0.00501068
  0.527344, -0.00334007
  0.535156, -0.01170335
  0.542969, -0.02008083
  0.550781, -0.02847426
  0.558594, -0.03688545
  0.566406, -0.04531627
  0.574219, -0.05376860
  0.582031, -0.06224432
  0.589844, -0.07074524
  0.597656, -0.07927308
  0.605469, -0.08782939
  0.613281, -0.09641552
  0.621094, -0.10503252
  0.628906, -0.11368106
  0.636719, -0.12236136
  0.644531, -0.13107309
  0.652344, -0.13981530
  0.660156, -0.14858632
  0.667969, -0.15738372
  0.675781, -0.16620428
  0.683594, -0.17504401
  0.691406, -0.18389827
  0.699219, -0.19276195
  0.707031, -0.20162986
  0.714844, -0.21049729
  0.722656, -0.21936083
  0.730469, -0.22821953
  0.738281, -0.23707645
  0.746094, -0.24594075
  0.753906, -0.25483022
  0.761719, -0.26377440
  0.769531, -0.27281824
  0.777344, -0.28202597
  0.785156, -0.29148501
  0.792969, -0.30130928
  0.800781, -0.31164090
  0.808594, -0.32264919
  0.816406, -0.33452520
  0.824219, -0.34746984
  0.832031, -0.36167351
  0.839844, -0.37728520
  0.847656, -0.39436999
  0.855469, -0.41285497
  0.863281, -0.43246612
  0.871094, -0.45266212
  0.878906, -0.47257485
  0.886719, -0.49097114
  0.894531, -0.50625429
  0.902344, -0.51652560
  0.910156, -0.51972338
  0.917969, -0.51384700
  0.925781, -0.49725372
  0.933594, -0.46898820
  0.941406, -0.42907481
  0.949219, -0.37868629
  0.957031, -0.32011484
  0.964844, -0.25652195
  0.972656, -0.19151416
  0.980469, -0.12864919
  0.988281, -0.07098824
  0.996094, -0.02077118
