x,y,vorticity
 0.00000,   0.00000000,   0.00000000
 0.00781,   0.00000000,   0.00572554
 0.01562,   0.00000000,  -0.00402738
 0.02344,   0.00000000,  -0.03464832
 0.03125,   0.00000000,  -0.08417063
 0.03906,   0.00000000,  -0.14818165
 0.04688,   0.00000000,  -0.22154082
 0.05469,   0.00000000,  -0.29910551
 0.06250,   0.00000000,  -0.37616226
 0.07031,   0.00000000,  -0.44874134
 0.07812,   0.00000000,  -0.51383516
 0.08594,   0.00000000,  -0.56950977
 0.09375,   0.00000000,  -0.61490599
 0.10156,   0.00000000,  -0.65014218
 0.10938,   0.00000000,  -0.67614222
 0.11719,   0.00000000,  -0.69441691
 0.12500,   0.00000000,  -0.70682608
 0.13281,   0.00000000,  -0.71534421
 0.14062,   0.00000000,  -0.72184670
 0.14844,   0.00000000,  -0.72792955
 0.15625,   0.00000000,  -0.73477176
 0.16406,   0.00000000,  -0.74304797
 0.17188,   0.00000000,  -0.75289578
 0.17969,   0.00000000,  -0.76393797
 0.18750,   0.00000000,  -0.77535320
 0.19531,   0.00000000,  -0.78598105
 0.20312,   0.00000000,  -0.79444106
 0.21094,   0.00000000,  -0.79924287
 0.21875,   0.00000000,  -0.79886807
 0.22656,   0.00000000,  -0.79181211
 0.23438,   0.00000000,  -0.77658625
 0.24219,   0.00000000,  -0.75168904
 0.25000,   0.00000000,  -0.71556318
 0.25781,   0.00000000,  -0.66655446
 0.26562,   0.00000000,  -0.60288528
 0.27344,   0.00000000,  -0.52264900
 0.28125,   0.00000000,  -0.42382555
 0.28906,   0.00000000,  -0.30431480
 0.29688,   0.00000000,  -0.16198332
 0.30469,   0.00000000,   0.00527916
 0.31250,   0.00000000,   0.19949589
 0.32031,   0.00000000,   0.42253306
 0.32812,   0.00000000,   0.67602477
 0.33594,   0.00000000,   0.96129484
 0.34375,   0.00000000,   1.27927776
 0.35156,   0.00000000,   1.63044193
 0.35938,   0.00000000,   2.01471871
 0.36719,   0.00000000,   2.43144062
 0.37500,   0.00000000,   2.87929174
 0.38281,   0.00000000,   3.35627286
 0.39062,   0.00000000,   3.85968271
 0.39844,   0.00000000,   4.38611622
 0.40625,   0.00000000,   4.93147921
 0.41406,   0.00000000,   5.49101861
 0.42188,   0.00000000,   6.05936639
 0.42969,   0.00000000,   6.63059477
 0.43750,   0.00000000,   7.19828062
 0.44531,   0.00000000,   7.75557659
 0.45312,   0.00000000,   8.29528756
 0.46094,   0.00000000,   8.80995119
 0.46875,   0.00000000,   9.29192225
 0.47656,   0.00000000,   9.73346125
 0.48438,   0.00000000,  10.12682821
 0.49219,   0.00000000,  10.46438291
 0.50000,   0.00000000,  10.73869344
 0.50781,   0.00000000,  10.94265449
 0.51562,   0.00000000,  11.06961700
 0.52344,   0.00000000,  11.11352996
 0.53125,   0.00000000,  11.06909457
 0.53906,   0.00000000,  10.93192983
 0.54688,   0.00000000,  10.69874726
 0.55469,   0.00000000,  10.36753095
 0.56250,   0.00000000,   9.93771741
 0.57031,   0.00000000,   9.41036774
 0.57812,   0.00000000,   8.78832321
 0.58594,   0.00000000,   8.07633332
 0.59375,   0.00000000,   7.28114462
 0.60156,   0.00000000,   6.41153766
 0.60938,   0.00000000,   5.47829988
 0.61719,   0.00000000,   4.49412327
 0.62500,   0.00000000,   3.47341816
 0.63281,   0.00000000,   2.43203824
 0.64062,   0.00000000,   1.38691669
 0.64844,   0.00000000,   0.35561967
