x,y,u,v,p,speed
 0.00391,   0.00390625,   0.00000182,  -0.00000182,   0.01636787,   0.00000258
 0.01172,   0.00390625,   0.00000884,  -0.00000520,   0.01637587,   0.00001026
 0.01953,   0.00390625,   0.00002052,  -0.00000648,   0.01636523,   0.00002152
 0.02734,   0.00390625,   0.00003304,  -0.00000604,   0.01633057,   0.00003359
 0.03516,   0.00390625,   0.00004358,  -0.00000449,   0.01627219,   0.00004381
 0.04297,   0.00390625,   0.00005034,  -0.00000227,   0.01619270,   0.00005039
 0.05078,   0.00390625,   0.00005226,   0.00000034,   0.01609546,   0.00005227
 0.05859,   0.00390625,   0.00004877,   0.00000315,   0.01598393,   0.00004887
 0.06641,   0.00390625,   0.00003959,   0.00000603,   0.01586137,   0.00004004
 0.07422,   0.00390625,   0.00002465,   0.00000890,   0.01573074,   0.00002621
 0.08203,   0.00390625,   0.00000405,   0.00001170,   0.01559469,   0.00001238
 0.08984,   0.00390625,  -0.00002206,   0.00001441,   0.01545556,   0.00002635
 0.09766,   0.00390625,  -0.00005345,   0.00001698,   0.01531537,   0.00005608
 0.10547,   0.00390625,  -0.00008983,   0.00001941,   0.01517591,   0.00009191
 0.11328,   0.00390625,  -0.00013092,   0.00002168,   0.01503870,   0.00013271
 0.12109,   0.00390625,  -0.00017641,   0.00002380,   0.01490507,   0.00017801
 0.12891,   0.00390625,  -0.00022598,   0.00002576,   0.01477614,   0.00022745
 0.13672,   0.00390625,  -0.00027931,   0.00002757,   0.01465287,   0.00028067
 0.14453,   0.00390625,  -0.00033610,   0.00002922,   0.01453608,   0.00033736
 0.15234,   0.00390625,  -0.00039603,   0.00003071,   0.01442646,   0.00039722
 0.16016,   0.00390625,  -0.00045881,   0.00003207,   0.01432458,   0.00045993
 0.16797,   0.00390625,  -0.00052416,   0.00003328,   0.01423093,   0.00052521
 0.17578,   0.00390625,  -0.00059180,   0.00003436,   0.01414589,   0.00059279
 0.18359,   0.00390625,  -0.00066146,   0.00003531,   0.01406979,   0.00066241
 0.19141,   0.00390625,  -0.00073291,   0.00003614,   0.01400289,   0.00073380
