x,y,u,v,p,speed
 0.00391,   0.00390625,   0.00000213,  -0.00000213,   0.03582613,   0.00000301
 0.01172,   0.00390625,   0.00001466,  -0.00001039,   0.03583401,   0.00001797
 0.01953,   0.00390625,   0.00004090,  -0.00001585,   0.03583645,   0.00004387
 0.02734,   0.00390625,   0.00007480,  -0.00001805,   0.03582855,   0.00007695
 0.03516,   0.00390625,   0.00011059,  -0.00001774,   0.03580872,   0.00011201
 0.04297,   0.00390625,   0.00014406,  -0.00001573,   0.03577704,   0.00014492
 0.05078,   0.00390625,   0.00017240,  -0.00001260,   0.03573436,   0.00017286
 0.05859,   0.00390625,   0.00019380,  -0.00000880,   0.03568184,   0.00019400
 0.06641,   0.00390625,   0.00020722,  -0.00000462,   0.03562068,   0.00020727
 0.07422,   0.00390625,   0.00021210,  -0.00000026,   0.03555205,   0.00021211
 0.08203,   0.00390625,   0.00020825,   0.00000412,   0.03547700,   0.00020829
 0.08984,   0.00390625,   0.00019568,   0.00000845,   0.03539644,   0.00019586
 0.09766,   0.00390625,   0.00017459,   0.00001265,   0.03531116,   0.00017504
 0.10547,   0.00390625,   0.00014523,   0.00001671,   0.03522181,   0.00014619
 0.11328,   0.00390625,   0.00010792,   0.00002060,   0.03512894,   0.00010987
 0.12109,   0.00390625,   0.00006298,   0.00002434,   0.03503298,   0.00006752
 0.12891,   0.00390625,   0.00001072,   0.00002792,   0.03493428,   0.00002991
 0.13672,   0.00390625,  -0.00004856,   0.00003137,   0.03483313,   0.00005781
 0.14453,   0.00390625,  -0.00011463,   0.00003470,   0.03472975,   0.00011977
 0.15234,   0.00390625,  -0.00018727,   0.00003794,   0.03462434,   0.00019108
 0.16016,   0.00390625,  -0.00026632,   0.00004110,   0.03451706,   0.00026947
 0.16797,   0.00390625,  -0.00035163,   0.00004421,   0.03440807,   0.00035439
 0.17578,   0.00390625,  -0.00044311,   0.00004727,   0.03429751,   0.00044562
 0.18359,   0.00390625,  -0.00054069,   0.00005031,   0.03418555,   0.00054303
 0.19141,   0.00390625,  -0.00064433,   0.00005333,   0.03407235,   0.00064654
 0.19922,   0.00390625,  -0.00075400,   0.00005634,   0.03395811,   0.00075611
 0.20703,   0.00390625,  -0.00086969,   0.00005934,   0.03384306,   0.00087171
 0.21484,   0.00390625,  -0.00099137,   0.00006234,   0.03372743,   0.00099333
 0.22266,   0.00390625,  -0.00111902,   0.00006532,   0.03361152,   0.00112093
 0.23047,   0.00390625,  -0.00125261,   0.00006828,   0.03349565,   0.00125447
 0.23828,   0.00390625,  -0.00139210,   0.00007121,   0.03338017,   0.00139392
 0.24609,   0.00390625,  -0.00153740,   0.00007409,   0.03326547,   0.00153918
 0.25391,   0.00390625,  -0.00168842,   0.00007692,   0.03315198,   0.00169017
 0.26172,   0.00390625,  -0.00184501,   0.00007967,   0.03304018,   0.00184673
 0.26953,   0.00390625,  -0.00200700,   0.00008232,   0.03293055,   0.00200869
 0.27734,   0.00390625,  -0.00217417,   0.00008485,   0.03282364,   0.00217583
 0.28516,   0.00390625,  -0.00234626,   0.00008724,   0.03272001,   0.00234788
 0.29297,   0.00390625,  -0.00252295,   0.00008945,   0.03262025,   0.00252453
 0.30078,   0.00390625,  -0.00270387,   0.00009147,   0.03252497,   0.00270542
 0.30859,   0.00390625,  -0.00288861,   0.00009326,   0.03243481,   0.00289011
 0.31641,   0.00390625,  -0.00307668,   0.00009481,   0.03235042,   0.00307814
 0.32422,   0.00390625,  -0.00326755,   0.00009607,   0.03227245,   0.00326896
 0.33203,   0.00390625,  -0.00346063,   0.00009701,   0.03220157,   0.00346199
 0.33984,   0.00390625,  -0.00365526,   0.00009762,   0.03213844,   0.00365656
 0.34766,   0.00390625,  -0.00385074,   0.00009786,   0.03208371,   0.00385199
 0.35547,   0.00390625,  -0.00404630,   0.00009770,   0.03203802,   0.00404748
 0.36328,   0.00390625,  -0.00424113,   0.00009712,   0.03200197,   0.00424224
 0.37109,   0.00390625,  -0.00443434,   0.00009609,   0.03197615,   0.00443538
