x,y,u,v,p,speed
 0.00391,   0.00390625,  -0.00000181,   0.00000181,   0.04382964,   0.00000256
 0.01172,   0.00390625,   0.00001448,  -0.00001810,   0.04384074,   0.00002318
 0.01953,   0.00390625,   0.00007091,  -0.00003833,   0.04385366,   0.00008061
 0.02734,   0.00390625,   0.00016255,  -0.00005331,   0.04386156,   0.00017107
 0.03516,   0.00390625,   0.00027839,  -0.00006253,   0.04386060,   0.00028533
 0.04297,   0.00390625,   0.00040773,  -0.00006681,   0.04384892,   0.00041317
 0.05078,   0.00390625,   0.00054167,  -0.00006713,   0.04382585,   0.00054582
 0.05859,   0.00390625,   0.00067320,  -0.00006440,   0.04379150,   0.00067627
 0.06641,   0.00390625,   0.00079699,  -0.00005939,   0.04374638,   0.00079920
 0.07422,   0.00390625,   0.00090916,  -0.00005277,   0.04369126,   0.00091069
 0.08203,   0.00390625,   0.00100701,  -0.00004508,   0.04362701,   0.00100802
 0.08984,   0.00390625,   0.00108882,  -0.00003674,   0.04355454,   0.00108944
 0.09766,   0.00390625,   0.00115368,  -0.00002811,   0.04347467,   0.00115402
 0.10547,   0.00390625,   0.00120125,  -0.00001946,   0.04338816,   0.00120141
 0.11328,   0.00390625,   0.00123168,  -0.00001097,   0.04329564,   0.00123172
 0.12109,   0.00390625,   0.00124540,  -0.00000276,   0.04319758,   0.00124540
 0.12891,   0.00390625,   0.00124304,   0.00000512,   0.04309433,   0.00124305
 0.13672,   0.00390625,   0.00122528,   0.00001264,   0.04298607,   0.00122535
 0.14453,   0.00390625,   0.00119277,   0.00001987,   0.04287287,   0.00119294
 0.15234,   0.00390625,   0.00114605,   0.00002686,   0.04275468,   0.00114636
 0.16016,   0.00390625,   0.00108549,   0.00003370,   0.04263134,   0.00108601
 0.16797,   0.00390625,   0.00101126,   0.00004052,   0.04250265,   0.00101207
 0.17578,   0.00390625,   0.00092331,   0.00004742,   0.04236833,   0.00092453
 0.18359,   0.00390625,   0.00082137,   0.00005452,   0.04222809,   0.00082318
 0.19141,   0.00390625,   0.00070494,   0.00006191,   0.04208167,   0.00070765
 0.19922,   0.00390625,   0.00057334,   0.00006969,   0.04192879,   0.00057756
 0.20703,   0.00390625,   0.00042572,   0.00007793,   0.04176925,   0.00043279
 0.21484,   0.00390625,   0.00026111,   0.00008668,   0.04160287,   0.00027512
 0.22266,   0.00390625,   0.00007846,   0.00009597,   0.04142958,   0.00012396
 0.23047,   0.00390625,  -0.00012334,   0.00010583,   0.04124936,   0.00016252
 0.23828,   0.00390625,  -0.00034541,   0.00011624,   0.04106232,   0.00036444
 0.24609,   0.00390625,  -0.00058883,   0.00012718,   0.04086865,   0.00060241
 0.25391,   0.00390625,  -0.00085464,   0.00013863,   0.04066864,   0.00086581
 0.26172,   0.00390625,  -0.00114378,   0.00015052,   0.04046272,   0.00115365
 0.26953,   0.00390625,  -0.00145709,   0.00016279,   0.04025144,   0.00146616
 0.27734,   0.00390625,  -0.00179526,   0.00017537,   0.04003546,   0.00180380
 0.28516,   0.00390625,  -0.00215880,   0.00018817,   0.03981560,   0.00216698
 0.29297,   0.00390625,  -0.00254805,   0.00020109,   0.03959280,   0.00255597
 0.30078,   0.00390625,  -0.00296314,   0.00021401,   0.03936815,   0.00297086
 0.30859,   0.00390625,  -0.00340395,   0.00022681,   0.03914290,   0.00341150
 0.31641,   0.00390625,  -0.00387011,   0.00023935,   0.03891842,   0.00387750
 0.32422,   0.00390625,  -0.00436095,   0.00025149,   0.03869626,   0.00436820
 0.33203,   0.00390625,  -0.00487552,   0.00026308,   0.03847807,   0.00488261
 0.33984,   0.00390625,  -0.00541254,   0.00027394,   0.03826566,   0.00541947
 0.34766,   0.00390625,  -0.00597039,   0.00028391,   0.03806096,   0.00597714
 0.35547,   0.00390625,  -0.00654711,   0.00029281,   0.03786601,   0.00655366
 0.36328,   0.00390625,  -0.00714037,   0.00030045,   0.03768292,   0.00714669
 0.37109,   0.00390625,  -0.00774748,   0.00030666,   0.03751388,   0.00775355
 0.37891,   0.00390625,  -0.00836539,   0.00031125,   0.03736114,   0.00837118
 0.38672,   0.00390625,  -0.00899069,   0.00031405,   0.03722693,   0.00899617
 0.39453,   0.00390625,  -0.00961961,   0.00031487,   0.03711348,   0.00962476
 0.40234,   0.00390625,  -0.01024806,   0.00031357,   0.03702295,   0.01025285
 0.41016,   0.00390625,  -0.01087163,   0.00031000,   0.03695741,   0.01087605
 0.41797,   0.00390625,  -0.01148563,   0.00030401,   0.03691879,   0.01148966
 0.42578,   0.00390625,  -0.01208513,   0.00029549,   0.03690884,   0.01208874
 0.43359,   0.00390625,  -0.01266496,   0.00028435,   0.03692907,   0.01266815
 0.44141,   0.00390625,  -0.01321981,   0.00027051,   0.03698074,   0.01322258
 0.44922,   0.00390625,  -0.01374425,   0.00025393,   0.03706477,   0.01374659
 0.45703,   0.00390625,  -0.01423276,   0.00023459,   0.03718176,   0.01423469
 0.46484,   0.00390625,  -0.01467986,   0.00021251,   0.03733188,   0.01468139
 0.47266,   0.00390625,  -0.01508010,   0.00018773,   0.03751489,   0.01508126
 0.48047,   0.00390625,  -0.01542817,   0.00016034,   0.03773007,   0.01542900
 0.48828,   0.00390625,  -0.01571898,   0.00013047,   0.03797625,   0.01571952
 0.49609,   0.00390625,  -0.01594770,   0.00009825,   0.03825171,   0.01594800
 0.50391,   0.00390625,  -0.01610985,   0.00006390,   0.03855427,   0.01610998
 0.51172,   0.00390625,  -0.01620141,   0.00002765,   0.03888121,   0.01620143
 0.51953,   0.00390625,  -0.01621883,  -0.00001023,   0.03922931,   0.01621883
 0.52734,   0.00390625,  -0.01615919,  -0.00004942,   0.03959488,   0.01615926
 0.53516,   0.00390625,  -0.01602020,  -0.00008957,   0.03997379,   0.01602045
 0.54297,   0.00390625,  -0.01580032,  -0.00013031,   0.04036150,   0.01580085
 0.55078,   0.00390625,  -0.01549880,  -0.00017121,   0.04075313,   0.01549975
 0.55859,   0.00390625,  -0.01511576,  -0.00021183,   0.04114350,   0.01511724
 0.56641,   0.00390625,  -0.01465220,  -0.00025172,   0.04152726,   0.01465436
 0.57422,   0.00390625,  -0.01411009,  -0.00029039,   0.04189893,   0.01411308
 0.58203,   0.00390625,  -0.01349236,  -0.00032735,   0.04225300,   0.01349633
 0.58984,   0.00390625,  -0.01280289,  -0.00036212,   0.04258407,   0.01280801
 0.59766,   0.00390625,  -0.01204655,  -0.00039422,   0.04288691,   0.01205300
 0.60547,   0.00390625,  -0.01122916,  -0.00042318,   0.04315660,   0.01123713
 0.61328,   0.00390625,  -0.01035741,  -0.00044858,   0.04338860,   0.01036711
 0.62109,   0.00390625,  -0.00943882,  -0.00047001,   0.04357892,   0.00945051
 0.62891,   0.00390625,  -0.00848166,  -0.00048715,   0.04372412,   0.00849564
 0.63672,   0.00390625,  -0.00749482,  -0.00049969,   0.04382150,   0.00751146
 0.64453,   0.00390625,  -0.00648771,  -0.00050742,   0.04386907,   0.00650752
 0.65234,   0.00390625,  -0.00547007,  -0.00051021,   0.04386567,   0.00549382
 0.66016,   0.00390625,  -0.00445187,  -0.00050799,   0.04381098,   0.00448076
 0.66797,   0.00390625,  -0.00344309,  -0.00050079,   0.04370553,   0.00347932
 0.67578,   0.00390625,  -0.00245357,  -0.00048873,   0.04355070,   0.00250177
 0.68359,   0.00390625,  -0.00149283,  -0.00047201,   0.04334868,   0.00156567
 0.69141,   0.00390625,  -0.00056989,  -0.00045093,   0.04310241,   0.00072671
 0.69922,   0.00390625,   0.00030689,  -0.00042585,   0.04281553,   0.00052491
 0.70703,   0.00390625,   0.00112997,  -0.00039723,   0.04249224,   0.00119776
 0.71484,   0.00390625,   0.00189276,  -0.00036556,   0.04213725,   0.00192774
 0.72266,   0.00390625,   0.00258972,  -0.00033140,   0.04175563,   0.00261084
 0.73047,   0.00390625,   0.00321646,  -0.00029534,   0.04135269,   0.00322999
 0.73828,   0.00390625,   0.00376978,  -0.00025798,   0.04093382,   0.00377859
 0.74609,   0.00390625,   0.00424769,  -0.00021993,   0.04050444,   0.00425338
 0.75391,   0.00390625,   0.00464941,  -0.00018180,   0.04006981,   0.00465297
 0.76172,   0.00390625,   0.00497535,  -0.00014414,   0.03963495,   0.00497744
 0.76953,   0.00390625,   0.00522699,  -0.00010749,   0.03920454,   0.00522809
 0.77734,   0.00390625,   0.00540681,  -0.00007233,   0.03878287,   0.00540730
 0.78516,   0.00390625,   0.00551822,  -0.00003907,   0.03837371,   0.00551836
 0.79297,   0.00390625,   0.00556535,  -0.00000806,   0.03798036,   0.00556536
 0.80078,   0.00390625,   0.00555297,   0.00002044,   0.03760553,   0.00555301
 0.80859,   0.00390625,   0.00548631,   0.00004622,   0.03725141,   0.00548650
 0.81641,   0.00390625,   0.00537092,   0.00006917,   0.03691964,   0.00537136
 0.82422,   0.00390625,   0.00521252,   0.00008923,   0.03661135,   0.00521329
 0.83203,   0.00390625,   0.00501688,   0.00010641,   0.03632719,   0.00501801
 0.83984,   0.00390625,   0.00478966,   0.00012081,   0.03606739,   0.00479118
 0.84766,   0.00390625,   0.00453633,   0.00013253,   0.03583178,   0.00453826
 0.85547,   0.00390625,   0.00426205,   0.00014175,   0.03561989,   0.00426440
 0.86328,   0.00390625,   0.00397161,   0.00014868,   0.03543099,   0.00397440
 0.87109,   0.00390625,   0.00366940,   0.00015353,   0.03526415,   0.00367261
 0.87891,   0.00390625,   0.00335932,   0.00015654,   0.03511830,   0.00336297
 0.88672,   0.00390625,   0.00304484,   0.00015793,   0.03499232,   0.00304893
 0.89453,   0.00390625,   0.00272901,   0.00015790,   0.03488506,   0.00273357
 0.90234,   0.00390625,   0.00241450,   0.00015660,   0.03479540,   0.00241957
 0.91016,   0.00390625,   0.00210376,   0.00015413,   0.03472231,   0.00210940
 0.91797,   0.00390625,   0.00179913,   0.00015050,   0.03466484,   0.00180541
 0.92578,   0.00390625,   0.00150305,   0.00014559,   0.03462219,   0.00151008
 0.93359,   0.00390625,   0.00121831,   0.00013915,   0.03459362,   0.00122624
 0.94141,   0.00390625,   0.00094839,   0.00013078,   0.03457847,   0.00095736
 0.94922,   0.00390625,   0.00069774,   0.00011987,   0.03457600,   0.00070796
 0.95703,   0.00390625,   0.00047219,   0.00010567,   0.03458524,   0.00048387
 0.96484,   0.00390625,   0.00027920,   0.00008733,   0.03460470,   0.00029253
 0.97266,   0.00390625,   0.00012772,   0.00006415,   0.03463188,   0.00014293
 0.98047,   0.00390625,   0.00002720,   0.00003638,   0.03466269,   0.00004542
 0.98828,   0.00390625,  -0.00001640,   0.00000722,   0.03469066,   0.00001792
 0.99609,   0.00390625,  -0.00001181,  -0.00001181,   0.03470653,   0.00001670
 0.00391,   0.01171875,   0.00001804,  -0.00001443,   0.04381853,   0.00002310
 0.01172,   0.01171875,   0.00009715,  -0.00009726,   0.04382965,   0.00013747
 0.01953,   0.01171875,   0.00025887,  -0.00017731,   0.04383904,   0.00031378
 0.02734,   0.01171875,   0.00049058,  -0.00023767,   0.04384310,   0.00054512
 0.03516,   0.01171875,   0.00077230,  -0.00027573,   0.04383927,   0.00082004
 0.04297,   0.01171875,   0.00108292,  -0.00029359,   0.04382603,   0.00112201
 0.05078,   0.01171875,   0.00140325,  -0.00029461,   0.04380271,   0.00143384
 0.05859,   0.01171875,   0.00171703,  -0.00028222,   0.04376923,   0.00174006
 0.06641,   0.01171875,   0.00201120,  -0.00025954,   0.04372591,   0.00202788
 0.07422,   0.01171875,   0.00227571,  -0.00022931,   0.04367331,   0.00228723
 0.08203,   0.01171875,   0.00250317,  -0.00019386,   0.04361212,   0.00251066
 0.08984,   0.01171875,   0.00268851,  -0.00015511,   0.04354307,   0.00269298
 0.09766,   0.01171875,   0.00282855,  -0.00011463,   0.04346688,   0.00283087
 0.10547,   0.01171875,   0.00292165,  -0.00007361,   0.04338418,   0.00292258
 0.11328,   0.01171875,   0.00296733,  -0.00003292,   0.04329553,   0.00296751
 0.12109,   0.01171875,   0.00296593,   0.00000688,   0.04320134,   0.00296594
 0.12891,   0.01171875,   0.00291828,   0.00004549,   0.04310192,   0.00291863
 0.13672,   0.01171875,   0.00282545,   0.00008286,   0.04299746,   0.00282667
 0.14453,   0.01171875,   0.00268851,   0.00011911,   0.04288801,   0.00269115
 0.15234,   0.01171875,   0.00250831,   0.00015454,   0.04277354,   0.00251306
 0.16016,   0.01171875,   0.00228536,   0.00018953,   0.04265392,   0.00229321
 0.16797,   0.01171875,   0.00201976,   0.00022453,   0.04252897,   0.00203220
 0.17578,   0.01171875,   0.00171108,   0.00026004,   0.04239846,   0.00173072
 0.18359,   0.01171875,   0.00135839,   0.00029653,   0.04226214,   0.00139038
 0.19141,   0.01171875,   0.00096030,   0.00033442,   0.04211975,   0.00101687
 0.19922,   0.01171875,   0.00051498,   0.00037410,   0.04197106,   0.00063652
 0.20703,   0.01171875,   0.00002025,   0.00041587,   0.04181587,   0.00041636
 0.21484,   0.01171875,  -0.00052633,   0.00045993,   0.04165404,   0.00069897
 0.22266,   0.01171875,  -0.00112737,   0.00050641,   0.04148549,   0.00123588
 0.23047,   0.01171875,  -0.00178550,   0.00055534,   0.04131021,   0.00186987
 0.23828,   0.01171875,  -0.00250336,   0.00060666,   0.04112828,   0.00257582
 0.24609,   0.01171875,  -0.00328342,   0.00066024,   0.04093988,   0.00334914
 0.25391,   0.01171875,  -0.00412790,   0.00071587,   0.04074528,   0.00418952
 0.26172,   0.01171875,  -0.00503875,   0.00077326,   0.04054487,   0.00509774
 0.26953,   0.01171875,  -0.00601748,   0.00083208,   0.04033915,   0.00607474
 0.27734,   0.01171875,  -0.00706516,   0.00089192,   0.04012876,   0.00712123
 0.28516,   0.01171875,  -0.00818230,   0.00095231,   0.03991445,   0.00823753
 0.29297,   0.01171875,  -0.00936883,   0.00101273,   0.03969712,   0.00942340
 0.30078,   0.01171875,  -0.01062398,   0.00107261,   0.03947779,   0.01067799
 0.30859,   0.01171875,  -0.01194629,   0.00113132,   0.03925764,   0.01199974
 0.31641,   0.01171875,  -0.01333350,   0.00118820,   0.03903799,   0.01338634
 0.32422,   0.01171875,  -0.01478255,   0.00124253,   0.03882030,   0.01483468
 0.33203,   0.01171875,  -0.01628950,   0.00129356,   0.03860616,   0.01634078
 0.33984,   0.01171875,  -0.01784951,   0.00134050,   0.03839732,   0.01789977
 0.34766,   0.01171875,  -0.01945685,   0.00138255,   0.03819561,   0.01950591
 0.35547,   0.01171875,  -0.02110485,   0.00141889,   0.03800301,   0.02115249
 0.36328,   0.01171875,  -0.02278592,   0.00144870,   0.03782156,   0.02283192
 0.37109,   0.01171875,  -0.02449156,   0.00147116,   0.03765339,   0.02453570
 0.37891,   0.01171875,  -0.02621240,   0.00148549,   0.03750067,   0.02625446
 0.38672,   0.01171875,  -0.02793823,   0.00149093,   0.03736560,   0.02797798
 0.39453,   0.01171875,  -0.02965806,   0.00148675,   0.03725033,   0.02969530
 0.40234,   0.01171875,  -0.03136021,   0.00147230,   0.03715700,   0.03139475
 0.41016,   0.01171875,  -0.03303236,   0.00144699,   0.03708764,   0.03306404
 0.41797,   0.01171875,  -0.03466167,   0.00141033,   0.03704415,   0.03469035
 0.42578,   0.01171875,  -0.03623490,   0.00136189,   0.03702826,   0.03626048
 0.43359,   0.01171875,  -0.03773850,   0.00130138,   0.03704149,   0.03776093
 0.44141,   0.01171875,  -0.03915877,   0.00122860,   0.03708509,   0.03917804
 0.44922,   0.01171875,  -0.04048199,   0.00114349,   0.03716002,   0.04049814
 0.45703,   0.01171875,  -0.04169456,   0.00104611,   0.03726688,   0.04170768
 0.46484,   0.01171875,  -0.04278316,   0.00093668,   0.03740590,   0.04279341
 0.47266,   0.01171875,  -0.04373490,   0.00081554,   0.03757689,   0.04374250
 0.48047,   0.01171875,  -0.04453750,   0.00068321,   0.03777920,   0.04454274
 0.48828,   0.01171875,  -0.04517945,   0.00054035,   0.03801172,   0.04518268
 0.49609,   0.01171875,  -0.04565014,   0.00038777,   0.03827284,   0.04565179
 0.50391,   0.01171875,  -0.04594007,   0.00022646,   0.03856047,   0.04594063
 0.51172,   0.01171875,  -0.04604097,   0.00005755,   0.03887198,   0.04604101
 0.51953,   0.01171875,  -0.04594600,  -0.00011767,   0.03920429,   0.04594615
 0.52734,   0.01171875,  -0.04564984,  -0.00029778,   0.03955384,   0.04565081
 0.53516,   0.01171875,  -0.04514886,  -0.00048118,   0.03991662,   0.04515142
 0.54297,   0.01171875,  -0.04444125,  -0.00066619,   0.04028824,   0.04444624
 0.55078,   0.01171875,  -0.04352710,  -0.00085099,   0.04066396,   0.04353542
 0.55859,   0.01171875,  -0.04240854,  -0.00103366,   0.04103877,   0.04242113
 0.56641,   0.01171875,  -0.04108974,  -0.00121224,   0.04140745,   0.04110762
 0.57422,   0.01171875,  -0.03957704,  -0.00138468,   0.04176467,   0.03960125
 0.58203,   0.01171875,  -0.03787889,  -0.00154894,   0.04210510,   0.03791054
 0.58984,   0.01171875,  -0.03600590,  -0.00170299,   0.04242347,   0.03604615
 0.59766,   0.01171875,  -0.03397076,  -0.00184482,   0.04271469,   0.03402082
 0.60547,   0.01171875,  -0.03178818,  -0.00197254,   0.04297397,   0.03184933
 0.61328,   0.01171875,  -0.02947478,  -0.00208437,   0.04319691,   0.02954838
 0.62109,   0.01171875,  -0.02704888,  -0.00217869,   0.04337961,   0.02713649
 0.62891,   0.01171875,  -0.02453042,  -0.00225409,   0.04351876,   0.02463376
 0.63672,   0.01171875,  -0.02194059,  -0.00230940,   0.04361170,   0.02206180
 0.64453,   0.01171875,  -0.01930171,  -0.00234372,   0.04365653,   0.01944348
 0.65234,   0.01171875,  -0.01663679,  -0.00235647,   0.04365212,   0.01680285
 0.66016,   0.01171875,  -0.01396934,  -0.00234739,   0.04359816,   0.01416519
 0.66797,   0.01171875,  -0.01132291,  -0.00231660,   0.04349518,   0.01155746
 0.67578,   0.01171875,  -0.00872081,  -0.00226454,   0.04334452,   0.00901003
 0.68359,   0.01171875,  -0.00618569,  -0.00219206,   0.04314832,   0.00656261
 0.69141,   0.01171875,  -0.00373919,  -0.00210032,   0.04290944,   0.00428869
 0.69922,   0.01171875,  -0.00140160,  -0.00199084,   0.04263141,   0.00243473
 0.70703,   0.01171875,   0.00080851,  -0.00186543,   0.04231832,   0.00203311
 0.71484,   0.01171875,   0.00287455,  -0.00172618,   0.04197473,   0.00335302
 0.72266,   0.01171875,   0.00478220,  -0.00157539,   0.04160553,   0.00503501
 0.73047,   0.01171875,   0.00651963,  -0.00141551,   0.04121585,   0.00667152
 0.73828,   0.01171875,   0.00807762,  -0.00124911,   0.04081092,   0.00817363
 0.74609,   0.01171875,   0.00944971,  -0.00107879,   0.04039594,   0.00951108
 0.75391,   0.01171875,   0.01063218,  -0.00090713,   0.03997597,   0.01067080
 0.76172,   0.01171875,   0.01162406,  -0.00073662,   0.03955584,   0.01164738
 0.76953,   0.01171875,   0.01242702,  -0.00056961,   0.03914005,   0.01244007
 0.77734,   0.01171875,   0.01304522,  -0.00040824,   0.03873268,   0.01305160
 0.78516,   0.01171875,   0.01348507,  -0.00025443,   0.03833736,   0.01348747
 0.79297,   0.01171875,   0.01375504,  -0.00010981,   0.03795721,   0.01375548
 0.80078,   0.01171875,   0.01386531,   0.00002429,   0.03759483,   0.01386533
 0.80859,   0.01171875,   0.01382749,   0.00014685,   0.03725229,   0.01382827
 0.81641,   0.01171875,   0.01365426,   0.00025716,   0.03693117,   0.01365668
 0.82422,   0.01171875,   0.01335904,   0.00035484,   0.03663251,   0.01336375
 0.83203,   0.01171875,   0.01295569,   0.00043980,   0.03635694,   0.01296315
 0.83984,   0.01171875,   0.01245813,   0.00051220,   0.03610467,   0.01246866
 0.84766,   0.01171875,   0.01188014,   0.00057247,   0.03587555,   0.01189392
 0.85547,   0.01171875,   0.01123501,   0.00062122,   0.03566912,   0.01125217
 0.86328,   0.01171875,   0.01053540,   0.00065925,   0.03548470,   0.01055601
 0.87109,   0.01171875,   0.00979317,   0.00068742,   0.03532140,   0.00981727
 0.87891,   0.01171875,   0.00901925,   0.00070666,   0.03517823,   0.00904689
 0.88672,   0.01171875,   0.00822366,   0.00071789,   0.03505412,   0.00825493
 0.89453,   0.01171875,   0.00741551,   0.00072193,   0.03494797,   0.00745057
 0.90234,   0.01171875,   0.00660319,   0.00071941,   0.03485870,   0.00664227
 0.91016,   0.01171875,   0.00579456,   0.00071071,   0.03478529,   0.00583798
 0.91797,   0.01171875,   0.00499727,   0.00069584,   0.03472680,   0.00504548
 0.92578,   0.01171875,   0.00421924,   0.00067435,   0.03468237,   0.00427279
 0.93359,   0.01171875,   0.00346914,   0.00064522,   0.03465121,   0.00352863
 0.94141,   0.01171875,   0.00275695,   0.00060682,   0.03463254,   0.00282294
 0.94922,   0.01171875,   0.00209457,   0.00055686,   0.03462549,   0.00216733
 0.95703,   0.01171875,   0.00149618,   0.00049261,   0.03462901,   0.00157519
 0.96484,   0.01171875,   0.00097830,   0.00041127,   0.03464160,   0.00106123
 0.97266,   0.01171875,   0.00055883,   0.00031115,   0.03466105,   0.00063961
 0.98047,   0.01171875,   0.00025431,   0.00019441,   0.03468415,   0.00032011
 0.98828,   0.01171875,   0.00007385,   0.00007326,   0.03470645,   0.00010402
 0.99609,   0.01171875,   0.00000752,  -0.00001610,   0.03472240,   0.00001777
 0.00391,   0.01953125,   0.00003829,  -0.00007075,   0.04380555,   0.00008045
 0.01172,   0.01953125,   0.00017737,  -0.00025914,   0.04382026,   0.00031403
 0.01953,   0.01953125,   0.00042965,  -0.00042944,   0.04382968,   0.00060746
 0.02734,   0.01953125,   0.00077005,  -0.00055766,   0.04383243,   0.00095077
 0.03516,   0.01953125,   0.00117154,  -0.00063894,   0.04382719,   0.00133445
 0.04297,   0.01953125,   0.00160701,  -0.00067647,   0.04381304,   0.00174359
 0.05078,   0.01953125,   0.00205135,  -0.00067640,   0.04378951,   0.00215999
 0.05859,   0.01953125,   0.00248269,  -0.00064554,   0.04375658,   0.00256524
 0.06641,   0.01953125,   0.00288282,  -0.00059051,   0.04371451,   0.00294268
 0.07422,   0.01953125,   0.00323726,  -0.00051729,   0.04366376,   0.00327833
