y,u_ghia,u_sim,error
  0.0000,  0.00000000,  0.00000000,  0.00000000
  0.0547, -0.08186000, -0.08148388,  0.00037612
  0.0625, -0.09266000, -0.09219923,  0.00046077
  0.0703, -0.10338000, -0.10283400,  0.00054600
  0.1016, -0.14612000, -0.14539868,  0.00072132
  0.1719, -0.24299000, -0.24198011,  0.00100989
  0.2813, -0.32586000, -0.32651075,  0.00065075
  0.4531, -0.17908000, -0.17130680,  0.00777320
  0.5000, -0.11897000, -0.11502317,  0.00394683
  0.6172,  0.02135000,  0.02072145,  0.00062855
  0.7344,  0.16256000,  0.16160370,  0.00095630
  0.8516,  0.29093000,  0.29028106,  0.00064894
  0.9531,  0.55892000,  0.56057985,  0.00165985
  0.9609,  0.61756000,  0.61900049,  0.00144049
  0.9688,  0.68439000,  0.68637057,  0.00198057
  0.9766,  0.75837000,  0.75994713,  0.00157713
  1.0000,  1.00000000,  1.00000000,  0.00000000
