y,u_ghia,u_sim,error
  0.0000,  0.00000000,  0.00000000,  0.00000000
  0.0547, -0.32407000, -0.33659990,  0.01252990
  0.0625, -0.35344000, -0.36339368,  0.00995368
  0.0703, -0.37827000, -0.38511420,  0.00684420
  0.1016, -0.41933000, -0.41360197,  0.00572803
  0.1719, -0.34323000, -0.33298786,  0.01024214
  0.2813, -0.24427000, -0.23384360,  0.01042640
  0.4531, -0.08664000, -0.07879621,  0.00784379
  0.5000, -0.03826000, -0.03612595,  0.00213405
  0.6172,  0.05454000,  0.07373732,  0.01919732
  0.7344,  0.17527000,  0.19372282,  0.01845282
  0.8516,  0.36970000,  0.33470633,  0.03499367
  0.9531,  0.34714000,  0.44138229,  0.09424229
  0.9609,  0.44872000,  0.44617331,  0.00254669
  0.9688,  0.57262000,  0.46472514,  0.10789486
  0.9766,  0.73275000,  0.51551668,  0.21723332
  1.0000,  1.00000000,  1.00000000,  0.00000000
