y,u_sim
  0.000000,  0.00000000
  0.003906, -0.00647493
  0.011719, -0.01893360
  0.019531, -0.03096944
  0.027344, -0.04264501
  0.035156, -0.05401848
  0.042969, -0.06514456
  0.050781, -0.07607494
  0.058594, -0.08685832
  0.066406, -0.09754013
  0.074219, -0.10816186
  0.082031, -0.11876025
  0.089844, -0.12936630
  0.097656, -0.14000424
  0.105469, -0.15069052
  0.113281, -0.16143290
  0.121094, -0.17222971
  0.128906, -0.18306931
  0.136719, -0.19392988
  0.144531, -0.20477941
  0.152344, -0.21557601
  0.160156, -0.22626859
  0.167969, -0.23679769
  0.175781, -0.24709663
  0.183594, -0.25709292
  0.191406, -0.26670980
  0.199219, -0.27586790
  0.207031, -0.28448712
  0.214844, -0.29248843
  0.222656, -0.29979580
  0.230469, -0.30633802
  0.238281, -0.31205048
  0.246094, -0.31687676
  0.253906, -0.32077006
  0.261719, -0.32369440
  0.269531, -0.32562542
  0.277344, -0.32655102
  0.285156, -0.32647150
  0.292969, -0.32539944
  0.300781, -0.32335919
  0.308594, -0.32038601
  0.316406, -0.31652499
  0.324219, -0.31182970
  0.332031, -0.30636061
  0.339844, -0.30018352
  0.347656, -0.29336778
  0.355469, -0.28598470
  0.363281, -0.27810591
  0.371094, -0.26980190
  0.378906, -0.26114070
  0.386719, -0.25218678
  0.394531, -0.24300014
  0.402344, -0.23363565
  0.410156, -0.22414250
  0.417969, -0.21456404
  0.425781, -0.20493757
  0.433594, -0.19529452
  0.441406, -0.18566058
  0.449219, -0.17605608
  0.457031, -0.16649633
  0.464844, -0.15699215
  0.472656, -0.14755029
  0.480469, -0.13817404
  0.488281, -0.12886364
  0.496094, -0.11961687
  0.503906, -0.11042947
  0.511719, -0.10129559
  0.519531, -0.09220820
  0.527344, -0.08315946
  0.535156, -0.07414103
  0.542969, -0.06514434
  0.550781, -0.05616084
  0.558594, -0.04718221
  0.566406, -0.03820048
  0.574219, -0.02920824
  0.582031, -0.02019870
  0.589844, -0.01116579
  0.597656, -0.00210424
  0.605469,  0.00699037
  0.613281,  0.01612157
  0.621094,  0.02529197
  0.628906,  0.03450320
  0.636719,  0.04375592
  0.644531,  0.05304981
  0.652344,  0.06238353
  0.660156,  0.07175470
  0.667969,  0.08115994
  0.675781,  0.09059481
  0.683594,  0.10005383
  0.691406,  0.10953050
  0.699219,  0.11901727
  0.707031,  0.12850556
  0.714844,  0.13798580
  0.722656,  0.14744746
  0.730469,  0.15687906
  0.738281,  0.16626824
  0.746094,  0.17560186
  0.753906,  0.18486608
  0.761719,  0.19404650
  0.769531,  0.20312838
  0.777344,  0.21209692
  0.785156,  0.22093769
  0.792969,  0.22963723
  0.800781,  0.23818398
  0.808594,  0.24656958
  0.816406,  0.25479084
  0.824219,  0.26285254
  0.832031,  0.27077136
  0.839844,  0.27858140
  0.847656,  0.28634161
  0.855469,  0.29414560
  0.863281,  0.30213399
  0.871094,  0.31050959
  0.878906,  0.31955484
  0.886719,  0.32965058
  0.894531,  0.34129428
  0.902344,  0.35511471
  0.910156,  0.37187860
  0.917969,  0.39248387
  0.925781,  0.41793284
  0.933594,  0.44927864
  0.941406,  0.48753904
  0.949219,  0.53357457
  0.957031,  0.58793302
  0.964844,  0.65067023
  0.972656,  0.72116853
  0.980469,  0.79798827
  0.988281,  0.87880483
  0.996094,  0.96050103
  1.000000,  1.00000000
