x,v_sim
  0.003906,  0.01659040
  0.011719,  0.04692030
  0.019531,  0.07451331
  0.027344,  0.09949633
  0.035156,  0.12201240
  0.042969,  0.14222132
  0.050781,  0.16029776
  0.058594,  0.17642751
  0.066406,  0.19080243
  0.074219,  0.20361473
  0.082031,  0.21505133
  0.089844,  0.22528862
  0.097656,  0.23448812
  0.105469,  0.24279323
  0.113281,  0.25032717
  0.121094,  0.25719204
  0.128906,  0.26346907
  0.136719,  0.26921957
  0.144531,  0.27448679
  0.152344,  0.27929806
  0.160156,  0.28366730
  0.167969,  0.28759757
  0.175781,  0.29108356
  0.183594,  0.29411390
  0.191406,  0.29667324
  0.199219,  0.29874402
  0.207031,  0.30030803
  0.214844,  0.30134758
  0.222656,  0.30184654
  0.230469,  0.30179108
  0.238281,  0.30117025
  0.246094,  0.29997642
  0.253906,  0.29820554
  0.261719,  0.29585733
  0.269531,  0.29293535
  0.277344,  0.28944699
  0.285156,  0.28540335
  0.292969,  0.28081916
  0.300781,  0.27571247
  0.308594,  0.27010443
  0.316406,  0.26401892
  0.324219,  0.25748223
  0.332031,  0.25052261
  0.339844,  0.24316989
  0.347656,  0.23545501
  0.355469,  0.22740958
  0.363281,  0.21906548
  0.371094,  0.21045443
  0.378906,  0.20160757
  0.386719,  0.19255518
  0.394531,  0.18332629
  0.402344,  0.17394845
  0.410156,  0.16444749
  0.417969,  0.15484737
  0.425781,  0.14517002
  0.433594,  0.13543528
  0.441406,  0.12566085
  0.449219,  0.11586230
  0.457031,  0.10605311
  0.464844,  0.09624473
  0.472656,  0.08644666
  0.480469,  0.07666659
  0.488281,  0.06691051
  0.496094,  0.05718283
  0.503906,  0.04748652
  0.511719,  0.03782324
  0.519531,  0.02819349
  0.527344,  0.01859665
  0.535156,  0.00903116
  0.542969, -0.00050546
  0.550781, -0.01001654
  0.558594, -0.01950623
  0.566406, -0.02897951
  0.574219, -0.03844216
  0.582031, -0.04790091
  0.589844, -0.05736340
  0.597656, -0.06683841
  0.605469, -0.07633589
  0.613281, -0.08586719
  0.621094, -0.09544518
  0.628906, -0.10508448
  0.636719, -0.11480162
  0.644531, -0.12461523
  0.652344, -0.13454621
  0.660156, -0.14461778
  0.667969, -0.15485558
  0.675781, -0.16528759
  0.683594, -0.17594391
  0.691406, -0.18685641
  0.699219, -0.19805810
  0.707031, -0.20958226
  0.714844, -0.22146119
  0.722656, -0.23372459
  0.730469, -0.24639748
  0.738281, -0.25949755
  0.746094, -0.27303206
  0.753906, -0.28699402
  0.761719, -0.30135798
  0.769531, -0.31607519
  0.777344, -0.33106850
  0.785156, -0.34622699
  0.792969, -0.36140089
  0.800781, -0.37639688
  0.808594, -0.39097463
  0.816406, -0.40484491
  0.824219, -0.41767017
  0.832031, -0.42906830
  0.839844, -0.43862012
  0.847656, -0.44588141
  0.855469, -0.45039950
  0.863281, -0.45173440
  0.871094, -0.44948370
  0.878906, -0.44330998
  0.886719, -0.43296849
  0.894531, -0.41833289
  0.902344, -0.39941589
  0.910156, -0.37638233
  0.917969, -0.34955233
  0.925781, -0.31939351
  0.933594, -0.28650220
  0.941406, -0.25157519
  0.949219, -0.21537463
  0.957031, -0.17868938
  0.964844, -0.14229635
  0.972656, -0.10692494
  0.980469, -0.07322676
  0.988281, -0.04175189
  0.996094, -0.01293181
