x,v_sim
  0.003906,  0.05281681
  0.011719,  0.14137638
  0.019531,  0.21015112
  0.027344,  0.26045517
  0.035156,  0.29711355
  0.042969,  0.32527732
  0.050781,  0.34839037
  0.058594,  0.36796042
  0.066406,  0.38426831
  0.074219,  0.39712967
  0.082031,  0.40635049
  0.089844,  0.41190713
  0.097656,  0.41397835
  0.105469,  0.41291551
  0.113281,  0.40919073
  0.121094,  0.40333951
  0.128906,  0.39590618
  0.136719,  0.38739787
  0.144531,  0.37825071
  0.152344,  0.36881041
  0.160156,  0.35932700
  0.167969,  0.34996120
  0.175781,  0.34079892
  0.183594,  0.33186956
  0.191406,  0.32316461
  0.199219,  0.31465405
  0.207031,  0.30629910
  0.214844,  0.29806101
  0.222656,  0.28990620
  0.230469,  0.28180855
  0.238281,  0.27374963
  0.246094,  0.26571775
  0.253906,  0.25770651
  0.261719,  0.24971316
  0.269531,  0.24173725
  0.277344,  0.23377951
  0.285156,  0.22584108
  0.292969,  0.21792306
  0.300781,  0.21002622
  0.308594,  0.20215094
  0.316406,  0.19429722
  0.324219,  0.18646470
  0.332031,  0.17865278
  0.339844,  0.17086069
  0.347656,  0.16308751
  0.355469,  0.15533230
  0.363281,  0.14759404
  0.371094,  0.13987174
  0.378906,  0.13216437
  0.386719,  0.12447093
  0.394531,  0.11679040
  0.402344,  0.10912175
  0.410156,  0.10146395
  0.417969,  0.09381595
  0.425781,  0.08617667
  0.433594,  0.07854501
  0.441406,  0.07091985
  0.449219,  0.06330003
  0.457031,  0.05568436
  0.464844,  0.04807162
  0.472656,  0.04046058
  0.480469,  0.03284994
  0.488281,  0.02523841
  0.496094,  0.01762465
  0.503906,  0.01000729
  0.511719,  0.00238495
  0.519531, -0.00524378
  0.527344, -0.01288036
  0.535156, -0.02052624
  0.542969, -0.02818291
  0.550781, -0.03585188
  0.558594, -0.04353468
  0.566406, -0.05123288
  0.574219, -0.05894804
  0.582031, -0.06668176
  0.589844, -0.07443564
  0.597656, -0.08221132
  0.605469, -0.09001045
  0.613281, -0.09783468
  0.621094, -0.10568568
  0.628906, -0.11356512
  0.636719, -0.12147471
  0.644531, -0.12941611
  0.652344, -0.13739101
  0.660156, -0.14540110
  0.667969, -0.15344805
  0.675781, -0.16153355
  0.683594, -0.16965928
  0.691406, -0.17782698
  0.699219, -0.18603841
  0.707031, -0.19429544
  0.714844, -0.20260011
  0.722656, -0.21095461
  0.730469, -0.21936141
  0.738281, -0.22782326
  0.746094, -0.23634319
  0.753906, -0.24492441
  0.761719, -0.25357016
  0.769531, -0.26228328
  0.777344, -0.27106568
  0.785156, -0.27991741
  0.792969, -0.28883549
  0.800781, -0.29781239
  0.808594, -0.30683426
  0.816406, -0.31587925
  0.824219, -0.32491625
  0.832031, -0.33390524
  0.839844, -0.34280071
  0.847656, -0.35156090
  0.855469, -0.36016686
  0.863281, -0.36865598
  0.871094, -0.37717438
  0.878906, -0.38604735
  0.886719, -0.39585433
  0.894531, -0.40747049
  0.902344, -0.42200355
  0.910156, -0.44052808
  0.917969, -0.46353164
  0.925781, -0.49007126
  0.933594, -0.51679889
  0.941406, -0.53721761
  0.949219, -0.54173290
  0.957031, -0.51922333
  0.964844, -0.46080628
  0.972656, -0.36568203
  0.980469, -0.24641952
  0.988281, -0.12719360
  0.996094, -0.03115689
